 4.0000e+1	5.8400e-20
 5.0000e+1	4.7900e-20
 6.0000e+1	4.1500e-20
 7.0000e+1	3.6100e-20
 8.0000e+1	3.1900e-20
 9.0000e+1	2.8300e-20
 1.0000e+2	2.5300e-20
------------------------------------------------------------
ELASTIC
CO2(Vb)
  1.240e-5 / mass ratio
COMMENT: Momentum Transfer Cross section
UPDATED: 2012-06-05 06:47:55
------------------------------------------------------------
 1.0000e-2	1.8200e-18
 1.5000e-2	1.4800e-18
 2.0000e-2	1.2800e-18
 3.0000e-2	1.0400e-18
 4.0000e-2	9.0000e-19
 5.0000e-2	8.0600e-19
 6.0000e-2	7.3200e-19
 7.0000e-2	6.6800e-19
 8.0000e-2	6.1900e-19
 9.0000e-2	5.6800e-19
 1.0000e-1	5.3600e-19
 1.2000e-1	4.6400e-19
 1.5000e-1	3.7200e-19
 1.8000e-1	3.0100e-19
 2.0000e-1	2.6200e-19
 2.5000e-1	1.9800e-19
 3.0000e-1	1.5050e-19
 4.0000e-1	1.0480e-19
 5.0000e-1	8.0900e-20
 6.0000e-1	6.7700e-20
 7.0000e-1	5.6900e-20
 8.0000e-1	5.1800e-20
 9.0000e-1	4.6900e-20
 1.0000e+0	4.2500e-20
 1.2000e+0	3.5900e-20
 1.5000e+0	3.2400e-20
 1.8000e+0	3.2400e-20
 2.0000e+0	3.3900e-20
 2.5000e+0	3.9100e-20
 3.0000e+0	4.6700e-20
 3.5000e+0	5.6400e-20
 4.0000e+0	5.7900e-20
 4.5000e+0	5.0200e-20
 5.0000e+0	4.5800e-20
 6.0000e+0	4.9100e-20
 7.0000e+0	6.0800e-20
 8.0000e+0	7.4000e-20
 9.0000e+0	8.0900e-20
 1.0000e+1	9.0200e-20
 1.2000e+1	1.0000e-19
 1.5000e+1	1.0860e-19
 1.8000e+1	1.0760e-19
 2.0000e+1	1.0170e-19
 2.5000e+1	8.7400e-20
 3.0000e+1	7.5100e-20
 4.0000e+1	5.8400e-20
 5.0000e+1	4.7900e-20
 6.0000e+1	4.1500e-20
 7.0000e+1	3.6100e-20
 8.0000e+1	3.1900e-20
 9.0000e+1	2.8300e-20
 1.0000e+2	2.5300e-20
------------------------------------------------------------
ELASTIC
CO2(Vc)
  1.240e-5 / mass ratio
COMMENT: Momentum Transfer Cross section
UPDATED: 2012-06-05 06:47:55
------------------------------------------------------------
 1.0000e-2	1.8200e-18
 1.5000e-2	1.4800e-18
 2.0000e-2	1.2800e-18
 3.0000e-2	1.0400e-18
 4.0000e-2	9.0000e-19
 5.0000e-2	8.0600e-19
 6.0000e-2	7.3200e-19
 7.0000e-2	6.6800e-19
 8.0000e-2	6.1900e-19
 9.0000e-2	5.6800e-19
 1.0000e-1	5.3600e-19
 1.2000e-1	4.6400e-19
 1.5000e-1	3.7200e-19
 1.8000e-1	3.0100e-19
 2.0000e-1	2.6200e-19
 2.5000e-1	1.9800e-19
 3.0000e-1	1.5050e-19
 4.0000e-1	1.0480e-19
 5.0000e-1	8.0900e-20
 6.0000e-1	6.7700e-20
 7.0000e-1	5.6900e-20
 8.0000e-1	5.1800e-20
 9.0000e-1	4.6900e-20
 1.0000e+0	4.2500e-20
 1.2000e+0	3.5900e-20
 1.5000e+0	3.2400e-20
